object,r,g,b
basin,0.9025533963599922,0.10320928008767183,0.5176835020510872
bathroom_product,0.31547688080825464,0.9350154367977385,0.21702677845632057
bed,0.9014794333849964,0.6504368964551565,0.10043213478507917
bedding,0.6427915491993227,0.5463517579138051,0.08542377771710608
blanket,0.25260405002241404,0.9212432196497521,0.12905592350752815
book,0.40168527391480335,0.6308134133981309,0.42488333407725365
bowl,0.07177458769917067,0.9036410669872084,0.1649356473287883
cabinet,0.8631325551683569,0.26612052316214696,0.2125517278985024
ceiling,0.9011137085493028,0.34446526713786085,0.8780653383333661
ceiling_light,0.8424209497078862,0.5531690823601579,0.7138390887965376
chair,0.10651766869720258,0.1547032785271122,0.7203455368717882
chandelier,0.9581341288771106,0.5255627916256286,0.9612190100237448
chopstick,0.9229964083054015,0.5090970758386482,0.4849100120966464
clock,0.277767721428543,0.9962527389386584,0.7482793220208857
closestool,0.7975307638361114,0.5803741903494112,0.6720606647264865
computer,0.4070845860724108,0.0969107167933263,0.6237228229893934
cookware,0.83782009137226,0.8785803528228455,0.11214457011814138
cosmetic,0.5051634844326643,0.0962116118203945,0.012698435462372037
cup,0.6605308976798346,0.9264156841338964,0.5671553043079799
curtain,0.4030839094612334,0.6005821354552761,0.5231494733685781
cushion,0.9043713232794639,0.9141155956017224,0.3010002242906642
daily_equipment,0.3452986025946506,0.6346605065578192,0.5804852606927845
decorative_box,0.8110202136103136,0.6283123558204851,0.6853792537002166
desk,0.3147047860344192,0.9686225059161527,0.838472119817041
dining_table,0.5862010872429623,0.9934913603079095,0.854816247053577
door,0.7796743873674997,0.8095251967942998,0.6976398690691276
door_handle,0.7611849705836788,0.16223123414654672,0.5068800590848599
doorsill,0.655941366848523,0.322602091017806,0.11541988136763404
electric_appliance,0.26973619526806814,0.02166631036479938,0.13750007349340543
floor,0.7082555953931243,0.22289044120489887,0.3604144181614557
floor_lamp,0.8930312601932174,0.5829519808533611,0.7901575308238261
flower,0.66728848647731,0.9573298147301226,0.8590402588702024
fork,0.8944287115903026,0.8000682220588662,0.7365277549783386
fridge,0.5589370857585486,0.46738797463946646,0.44666364162205296
fruit,0.19472439201698277,0.3219796215149182,0.6801071278103744
hardware_decoration,0.7511751024240851,0.5142026337987061,0.3991988470159905
kettle,0.9892090535756916,0.8485690172406435,0.4693967047651927
kitchenware,0.5592846166853689,0.35511643701228146,0.09743652336494579
knife,0.29214231728820506,0.8861475203735907,0.9447311514587625
menorah,0.0006216995998071795,0.277441745628237,0.9561907027310949
microwave,0.7804819714119117,0.12640288729535953,0.9030537530588146
mirror,0.8660035625319158,0.010745281740039192,0.23586905906763034
office_supply,0.12856257329262943,0.5249449355293815,0.5174417258949916
ornament,0.2655740414568617,0.6652089705476102,0.21347663648658066
other_cooker,0.5037807378557771,0.6099942563002032,0.6037910900289439
painting,0.31664017334022276,0.35349955747633555,0.4037101292494578
picture_frame,0.28644265550214076,0.7235574575707266,0.7618404940652331
pillar,0.3347617112679704,0.1922969169009916,0.39128597012956656
pillow,0.3415168057334549,0.8836139146372819,0.1254423128688068
plate,0.8258899238456002,0.625237904692863,0.6527965192984869
range_hood,0.11881982384004297,0.22825255779195086,0.21253576171150634
screen,0.9452797727093807,0.06558272495038553,0.47273026471177104
shelf,0.46732439951653637,0.6533250588121144,0.8979975813600867
sofa,0.2446499814079961,0.9163854959917216,0.9750853096298382
spoon,0.717944548734765,0.09659972746912726,0.207330470344664
spot_light,0.032121596963811117,0.5864672146897068,0.9404226076739693
stool,0.4579813619414115,0.3888759479701971,0.8752976371302795
storage,0.7030634682884987,0.26475925246496146,0.4839529296974123
table,0.8099196757563921,0.16708868619484285,0.06176930789031587
tablecloth,0.7990027965981422,0.9033677800363219,0.9776559574326937
table_lamp,0.5207913905633493,0.8353311497257208,0.27832589195014723
tea_set,0.44171062167817143,0.7823359576219328,0.9338442445557705
television,0.19456500623507456,0.25065709759101884,0.21513634725947217
throw_pillow,0.4573610398030633,0.09251575240501764,0.17265241541391751
tooling,0.3789526884406891,0.8514155258748024,0.208165366361024
toy,0.7135730033573592,0.10351444459963699,0.419897146321187
tray,0.5601509285387137,0.32308303496281576,0.41646350505920726
unknown,0.9166870828721908,0.7779079436098063,0.374137869775362
vase,0.6970266072244524,0.9837860178397226,0.9464647174058238
wall,0.06521339934481774,0.37595423345182866,0.9191820073460591
wall_decoration,0.7465974461230315,0.7625318733085366,0.9174620817727263
wall_light,0.929046396965538,0.0008374716167922625,0.2993841772896597
washing_machine,0.3901065422711445,0.3800980668578531,0.10021337199081481
water_tap,0.7927342792911912,0.36509395670926226,0.9947927972518845
window,0.35228111317014177,0.8881308074331101,0.6173559132097566
wine_set,0.04450697937795367,0.1341309914201737,0.42202898018503165
